File name	rwta_29_d2.kcd
Result analysis file name	rwta_29_d2_2p.raf
Subject	v016_RWTA_22_28_29_3
Gender	
Age
Memo
Free comment 1	Patient identificati	RWTA22, RWTA28, RWTA29, RWTA39
Free comment 2	Recording identifica	C:\Users\olsonra\Desktop\EDF_c
Free comment 3	Start time	07/19/2018 07:00:00
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
7/19/2018 07:17:52	268	W	0	
7/19/2018 07:17:56	269	W	0	
7/19/2018 07:18:00	270	W	0	
7/19/2018 07:18:04	271	W	0	
7/19/2018 07:18:08	272	W	0	
7/19/2018 07:18:12	273	W	0	
7/19/2018 07:18:16	274	W	0	
7/19/2018 07:18:20	275	W	0	
7/19/2018 07:18:24	276	W	0	
7/19/2018 07:18:28	277	W	0	
7/19/2018 07:18:32	278	W	0	
7/19/2018 07:18:36	279	W	0	
7/19/2018 07:18:40	280	W	0	
7/19/2018 07:18:44	281	W	0	
7/19/2018 07:18:48	282	W	0	
7/19/2018 07:18:52	283	W	0	
7/19/2018 07:18:56	284	W	0	
7/19/2018 07:19:00	285	W	0	
7/19/2018 07:19:04	286	W	0	
7/19/2018 07:19:08	287	W	0	
7/19/2018 07:19:12	288	W	0	
7/19/2018 07:19:16	289	W	0	
7/19/2018 07:19:20	290	W	0	
7/19/2018 07:19:24	291	W	0	
7/19/2018 07:19:28	292	W	0	
7/19/2018 07:19:32	293	W	0	
7/19/2018 07:19:36	294	W	0	
7/19/2018 07:19:40	295	W	0	
7/19/2018 07:19:44	296	W	0	
7/19/2018 07:19:48	297	W	0	
7/19/2018 07:19:52	298	W	0	
7/19/2018 07:19:56	299	W	0	
7/19/2018 07:20:00	300	W	0	
7/19/2018 07:20:04	301	W	0	
7/19/2018 07:20:08	302	W	0	
7/19/2018 07:20:12	303	W	0	
7/19/2018 07:20:16	304	W	0	
7/19/2018 07:20:20	305	W	0	
7/19/2018 07:20:24	306	W	0	
7/19/2018 07:20:28	307	W	0	
7/19/2018 07:20:32	308	W	0	
7/19/2018 07:20:36	309	W	0	
7/19/2018 07:20:40	310	W	0	
7/19/2018 07:20:44	311	W	0	
