File name	m013_cohortD_BEEG13_day1.kcd
Result analysis file name	m013_cohortD_BEEG13_day1_2p.raf
Subject	m013_cohortD_04_19_2
Gender	
Age
Memo
Free comment 1	Patient identificati	
Free comment 2	Recording identifica	
Free comment 3	Start time	04/20/2021 11:13:46
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

Time	Epoch No.	Stage		
4/20/2021 11:35:42	329	W	0	
4/20/2021 11:35:46	330	W	0	
4/20/2021 11:35:50	331	W	0	
4/20/2021 11:35:54	332	W	0	
4/20/2021 11:35:58	333	W	0	
4/20/2021 11:36:02	334	W	0	
4/20/2021 11:36:06	335	W	0	
4/20/2021 11:36:10	336	W	0	
4/20/2021 11:36:14	337	W	0	
4/20/2021 11:36:18	338	W	0	
4/20/2021 11:36:22	339	W	0	
4/20/2021 11:36:26	340	W	0	
4/20/2021 11:36:30	341	W	0	
4/20/2021 11:36:34	342	W	0	
4/20/2021 11:36:38	343	W	0	
4/20/2021 11:36:42	344	W	0	
4/20/2021 11:36:46	345	W	0	
4/20/2021 11:36:50	346	W	0	
4/20/2021 11:36:54	347	W	0	
4/20/2021 11:36:58	348	W	0	
4/20/2021 11:37:02	349	W	0	
4/20/2021 11:37:06	350	W	0	
4/20/2021 11:37:10	351	W	0	
4/20/2021 11:37:14	352	W	0	
4/20/2021 11:37:18	353	W	0	
4/20/2021 11:37:22	354	W	0	
4/20/2021 11:37:26	355	W	0	
4/20/2021 11:37:30	356	W	0	
4/20/2021 11:37:34	357	W	0	
4/20/2021 11:37:38	358	W	0	
4/20/2021 11:37:42	359	W	0	
4/20/2021 11:37:46	360	W	0	
4/20/2021 11:37:50	361	W	0	
4/20/2021 11:37:54	362	W	0	
4/20/2021 11:37:58	363	W	0	
4/20/2021 11:38:02	364	W	0	
4/20/2021 11:38:06	365	W	0	
4/20/2021 11:38:10	366	W	0	
4/20/2021 11:38:14	367	W	0	
4/20/2021 11:38:18	368	W	0	
4/20/2021 11:38:22	369	W	0	
4/20/2021 11:38:26	370	W	0	
4/20/2021 11:38:30	371	W	0	
4/20/2021 11:38:34	372	W	0	
4/20/2021 11:38:38	373	W	0	
4/20/2021 11:38:42	374	W	0	
4/20/2021 11:38:46	375	W	0	
4/20/2021 11:38:50	376	W	0	
4/20/2021 11:38:54	377	W	0	
4/20/2021 11:38:58	378	W	0	
4/20/2021 11:39:02	379	W	0	
4/20/2021 11:39:06	380	W	0	
4/20/2021 11:39:10	381	W	0	
4/20/2021 11:39:14	382	W	0	
4/20/2021 11:39:18	383	W	0	
4/20/2021 11:39:22	384	W	0	
4/20/2021 11:39:26	385	W	0	
4/20/2021 11:39:30	386	W	0	
4/20/2021 11:39:34	387	W	0	
4/20/2021 11:39:38	388	W	0	
4/20/2021 11:39:42	389	W	0	
4/20/2021 11:39:46	390	W	0	
4/20/2021 11:39:50	391	W	0	
4/20/2021 11:39:54	392	W	0	
4/20/2021 11:39:58	393	W	0	
4/20/2021 11:40:02	394	W	0	
4/20/2021 11:40:06	395	W	0	
4/20/2021 11:40:10	396	W	0	
4/20/2021 11:40:14	397	W	0	
4/20/2021 11:40:18	398	W	0	
4/20/2021 11:40:22	399	W	0	
4/20/2021 11:40:26	400	W	0	
4/20/2021 11:40:30	401	W	0	
4/20/2021 11:40:34	402	W	0	
4/20/2021 11:40:38	403	W	0	
4/20/2021 11:40:42	404	W	0	
4/20/2021 11:40:46	405	W	0	
4/20/2021 11:40:50	406	W	0	
4/20/2021 11:40:54	407	W	0	
4/20/2021 11:40:58	408	W	0	
4/20/2021 11:41:02	409	W	0	
4/20/2021 11:41:06	410	W	0	
4/20/2021 11:41:10	411	W	0	
4/20/2021 11:41:14	412	W	0	
4/20/2021 11:41:18	413	W	0	
4/20/2021 11:41:22	414	W	0	
4/20/2021 11:41:26	415	W	0	
4/20/2021 11:41:30	416	W	0	
4/20/2021 11:41:34	417	W	0	
4/20/2021 11:41:38	418	W	0	
4/20/2021 11:41:42	419	W	0	
4/20/2021 11:41:46	420	W	0	
4/20/2021 11:41:50	421	W	0	
4/20/2021 11:41:54	422	W	0	
4/20/2021 11:41:58	423	W	0	
4/20/2021 11:42:02	424	W	0	
4/20/2021 11:42:06	425	W	0	
4/20/2021 11:42:10	426	W	0	
4/20/2021 11:42:14	427	W	0	
4/20/2021 11:42:18	428	W	0	
4/20/2021 11:42:22	429	W	0	
4/20/2021 11:42:26	430	W	0	
4/20/2021 11:42:30	431	W	0	
4/20/2021 11:42:34	432	W	0	
4/20/2021 11:42:38	433	W	0	
4/20/2021 11:42:42	434	W	0	
4/20/2021 11:42:46	435	W	0	
4/20/2021 11:42:50	436	W	0	
4/20/2021 11:42:54	437	W	0	
4/20/2021 11:42:58	438	W	0	
4/20/2021 11:43:02	439	W	0	
4/20/2021 11:43:06	440	W	0	
4/20/2021 11:43:10	441	W	0	
4/20/2021 11:43:14	442	W	0	
4/20/2021 11:43:18	443	W	0	
4/20/2021 11:43:22	444	W	0	
4/20/2021 11:43:26	445	W	0	
4/20/2021 11:43:30	446	W	0	
4/20/2021 11:43:34	447	W	0	
4/20/2021 11:43:38	448	W	0	
4/20/2021 11:43:42	449	W	0	
4/20/2021 11:43:46	450	W	0	
4/20/2021 11:43:50	451	W	0	
4/20/2021 11:43:54	452	W	0	
4/20/2021 11:43:58	453	W	0	
4/20/2021 11:44:02	454	W	0	
4/20/2021 11:44:06	455	W	0	
4/20/2021 11:44:10	456	W	0	
4/20/2021 11:44:14	457	W	0	
4/20/2021 11:44:18	458	W	0	
4/20/2021 11:44:22	459	W	0	
4/20/2021 11:44:26	460	W	0	
4/20/2021 11:44:30	461	W	0	
4/20/2021 11:44:34	462	W	0	
4/20/2021 11:44:38	463	W	0	
4/20/2021 11:44:42	464	W	0	
4/20/2021 11:44:46	465	W	0	
4/20/2021 11:44:50	466	W	0	
4/20/2021 11:44:54	467	W	0	
4/20/2021 11:44:58	468	W	0	
4/20/2021 11:45:02	469	W	0	
4/20/2021 11:45:06	470	W	0	
4/20/2021 11:45:10	471	W	0	
4/20/2021 11:45:14	472	W	0	
4/20/2021 11:45:18	473	W	0	
4/20/2021 11:45:22	474	W	0	
4/20/2021 11:45:26	475	W	0	
4/20/2021 11:45:30	476	W	0	
4/20/2021 11:45:34	477	W	0	
4/20/2021 11:45:38	478	W	0	
4/20/2021 11:45:42	479	W	0	
4/20/2021 11:45:46	480	W	0	
4/20/2021 11:45:50	481	W	0	
4/20/2021 11:45:54	482	W	0	
4/20/2021 11:45:58	483	W	0	
4/20/2021 11:46:02	484	W	0	
4/20/2021 11:46:06	485	W	0	
4/20/2021 11:46:10	486	W	0	
4/20/2021 11:46:14	487	W	0	
4/20/2021 11:46:18	488	W	0	
4/20/2021 11:46:22	489	W	0	
4/20/2021 11:46:26	490	W	0	
4/20/2021 11:46:30	491	W	0	
4/20/2021 11:46:34	492	W	0	
4/20/2021 11:46:38	493	W	0	
4/20/2021 11:46:42	494	W	0	
4/20/2021 11:46:46	495	W	0	
4/20/2021 11:46:50	496	W	0	
4/20/2021 11:46:54	497	W	0	
4/20/2021 11:46:58	498	W	0	
4/20/2021 11:47:02	499	W	0	
4/20/2021 11:47:06	500	W	0	
4/20/2021 11:47:10	501	W	0	
4/20/2021 11:47:14	502	W	0	
4/20/2021 11:47:18	503	W	0	
4/20/2021 11:47:22	504	W	0	
4/20/2021 11:47:26	505	W	0	
4/20/2021 11:47:30	506	W	0	
4/20/2021 11:47:34	507	W	0	
4/20/2021 11:47:38	508	W	0	
4/20/2021 11:47:42	509	W	0	
4/20/2021 11:47:46	510	W	0	
4/20/2021 11:47:50	511	W	0	
4/20/2021 11:47:54	512	W	0	
4/20/2021 11:47:58	513	W	0	
4/20/2021 11:48:02	514	W	0	
4/20/2021 11:48:06	515	W	0	
4/20/2021 11:48:10	516	W	0	
